id,latitude,longitude,trigger_index,distance,magnitude,magtype
ci40831415,33.3358333,-117.9433333,836.2392585490136,168.7837191445337,2.61,ml
ci40831471,32.7781667,-115.4401667,448.5730198937406,86.46356712304781,2.57,ml
ci40831495,32.774,-115.4405,544.8047379439873,86.34573203879862,2.4,ml
ci37697436,32.7381667,-115.3296667,598.6781261798853,95.98279463048524,2.41,ml
ci40831535,32.7806667,-115.4391667,329.27765492241383,86.60884761887978,2.84,ml
ci40831567,32.771,-115.4335,869.2881836888834,86.92881836888834,2.0,ml
ci40831583,32.7673333,-115.4348333,704.9947339545589,86.73330047714772,2.18,ml
ci40831679,32.7685,-115.4326667,354.24096017242044,86.9558443236066,2.78,ml
ci40831687,33.4825,-115.8233333,494.6611275170748,106.98127834488713,2.67,ml
ci40831695,32.7675,-115.4348333,471.19669509361916,86.73656835130384,2.53,ml
ci40831703,32.7563333,-115.4298333,793.3409227805117,86.98810239369455,2.08,ml
nc75111006,36.603,-121.232,5739.729317021502,629.3488047877893,2.08,md
ci40831847,33.3891667,-116.4411667,853.2170590494344,85.32170590494344,2.0,ml
ci40831935,34.3623333,-120.1603333,2545.0262978993724,403.3594854175224,2.4,ml
ci40832031,33.3081667,-116.2208333,653.0403162748204,76.72554708682237,2.14,ml
ci40832055,35.859,-117.6658333,3307.399446253984,379.7402651953297,2.12,ml
ci40832359,32.7721667,-115.7065,459.6682211262796,62.00753686062836,2.26,ml
ci40832759,33.9951667,-116.8126667,758.1030050776237,158.39016752974996,2.64,ml
nn00891303,36.3284,-114.9728,3840.0000252041864,430.85508927991026,2.1,ml
ci40833519,34.9833333,-116.4405,2535.5082238851787,262.46114765057985,2.03,ml
ci40833615,32.2061667,-115.0228333,1239.6175383348468,132.82741234369072,2.06,ml
ci40833655,31.9585,-116.3161667,368.9027564687247,74.45809151258842,2.61,ml
ci40833687,34.0043333,-116.7391667,1266.71277468178,157.64425570089494,2.19,ml
ci40833719,34.9853333,-116.4435,2626.930800518027,262.6930800518027,2.0,ml
ci40834055,32.726,-115.9231667,353.73345726507824,41.08432336094772,2.13,ml
ci40834559,32.7838333,-115.5435,217.38339537150443,77.13053927486584,3.1,ml
nc75113596,36.2223333333333,-120.8155,2281.7420103999702,573.1476796129075,2.8,md
ci40834887,34.2931667,-119.8086667,1302.1298492111332,371.2395986763052,2.91,ml
ci37694044,33.7755,-115.9113333,875.8686411661002,134.10314945698934,2.37,ml
ci40835879,32.5688333,-115.2183333,1046.9682187278313,105.90915393281574,2.01,ml
ci40836207,32.7738333,-115.4345,362.2354443431896,86.89423083260955,2.76,ml
ci40836255,32.7561667,-115.4283333,708.1680610680216,87.12370500187427,2.18,ml
ci40836335,33.9626667,-117.1668333,1652.6703934602865,167.1807414688048,2.01,ml
nc75114761,36.8905,-121.635666666667,2376.3689616117294,677.5071319884338,2.91,ml
ci40836479,32.9428333,-116.3381667,317.12586156417075,35.17480189153688,2.09,ml
ci40836623,35.0808333,-119.0935,1075.7444173294664,373.00023115671297,3.08,ml
ci40836639,34.2831667,-119.7956667,1296.5693563539742,369.6542920050967,2.91,ml
ci40836703,34.2953333,-119.8116667,2754.6929463283045,371.5978537533924,2.26,ml
ci40836743,34.2976667,-119.8075,2753.1448441989933,371.38902052230225,2.26,ml
ci40836791,33.4821667,-116.4531667,935.5500944663338,95.73418555949969,2.02,ml
ci40837151,34.0021667,-118.4206667,2407.585253039178,246.36651177534773,2.02,ml
nc75115651,36.5391666666667,-119.277333333333,4507.942288085517,511.65632534036644,2.11,md
ci40837735,35.3499985,-117.7910004,3055.371693102809,331.1799610492667,2.07,ml
ci40837831,32.3246667,-115.3585,406.3681091419469,98.60969559634012,2.77,ml
nc75115886,36.1743333333333,-119.6535,3291.4182568473666,498.17631259596277,2.36,md
ci40837943,34.0173333,-116.7326667,1219.4406940973565,158.91346008404878,2.23,ml
ci40837959,33.7626667,-115.9506667,1316.7258554690852,131.67258554690852,2.0,ml
ci40838375,33.7635,-115.9498333,1188.1201942205917,131.78329969341527,2.09,ml
ci40838383,33.7646667,-115.952,1059.4626467230735,131.85167444728498,2.19,ml
ci40838607,35.2435,-118.5233333,997.5621696310013,353.9484143779746,3.1,ml
