id,time,magnitude,magtype,depth,latitude,longitude,distance,trigger_index
usp0003v2e,1989-05-09 02:30:37.860000+00:00,5.0,mw,23.3,28.071,-16.156,52.499,16.602
usp0004410,1990-01-08 21:23:08.200000+00:00,3.2,mblg,10.0,28.313,-16.925,28.346,71.201
usp0004pbd,1991-03-21 13:31:56.450000+00:00,4.7,mb,10.0,27.304,-18.585,219.879,98.216
usp0008r61,1998-07-08 15:27:48.600000+00:00,3.7,mblg,15.5,27.97,-16.13,60.326,85.213
usp000amga,2001-08-15 03:30:27.850000+00:00,3.1,mblg,20.4,28.441,-16.66,18.805,52.999
usp000asaq,2001-11-06 02:48:40.430000+00:00,2.9,mblg,0.0,28.28,-16.425,21.033,74.628
usp000bw5w,2003-04-28 23:22:40.970000+00:00,3.3,mblg,23.8,28.215,-16.192,44.348,99.282
usp000ct2d,2004-04-21 18:05:20.130000+00:00,2.2,mblg,9.5,28.304,-16.644,3.475,27.601
usp000ct35,2004-04-22 02:14:53.290000+00:00,1.5,mblg,12.0,28.302,-16.684,5.431,96.584
usp000cu4c,2004-05-04 03:24:29.490000+00:00,2.0,mblg,11.3,28.302,-16.68,5.121,51.21
usp000cusg,2004-05-11 20:31:11.240000+00:00,3.0,mblg,2.7,28.344,-16.732,12.031,38.045
usp000cv97,2004-05-16 23:51:26.920000+00:00,1.0,mblg,13.1,28.255,-16.662,2.991,94.59
usp000cvaj,2004-05-17 07:32:50.850000+00:00,2.1,mblg,4.7,28.314,-16.726,9.635,85.873
usp000e4q0,2005-11-22 11:32:22.630000+00:00,4.1,m,38.6,28.584,-16.708,35.26,31.426
usp000ec7s,2006-03-15 17:03:42.950000+00:00,4.1,m,59.9,28.978,-16.76,79.354,70.724
usp000fpye,2007-10-05 17:31:59.140000+00:00,4.6,mb,26.1,27.548,-17.265,101.496,50.869
usp000fwt3,2008-01-15 23:15:58.520000+00:00,2.8,mblg,24.0,28.219,-16.391,25.091,99.889
us2013ngb8,2013-03-27 15:07:56+00:00,4.6,mb,19.0,27.716,-18.263,171.211,85.809
usb000fvqw,2013-03-29 17:01:20.480000+00:00,4.7,mb,10.0,27.591,-18.283,178.589,79.773
usc000lst3,2013-12-27 17:46:03.420000+00:00,5.4,mb,7.48,27.7975,-18.2868,170.302,33.98
us2000j5kz,2019-01-18 06:36:50.660000+00:00,4.4,mb,10.0,28.2989,-15.9541,67.239,42.425
us7000fpu4,2021-10-26 16:25:33.055000+00:00,4.6,mb,10.0,28.4947,-17.8688,122.904,61.598
us7000ft4n,2021-11-11 03:37:55.185000+00:00,4.3,mb,35.0,28.5877,-17.9297,131.077,92.796
us7000fvbu,2021-11-19 01:08:43.667000+00:00,4.2,mb,35.0,28.558,-17.8204,119.9,95.24
us7000fxa4,2021-11-23 01:03:24.298000+00:00,4.6,mb,10.0,28.696,-17.6878,112.867,56.568
